id,country,wtp_access,wtp_private,wtp_amount_1,wtp_amount_2a,wtp_amount_2b,geq_taxes_0,geq_taxes_1,geq_taxes_2a,geq_taxes_2b,geq_ticket_0,geq_ticket_1,geq_ticket_2a,geq_ticket_2b,wtpVal,taxesExtra,ticketExtra,WTP_R1,WTP_R2_aux,geq_taxes_R1,geq_taxes_R2_aux,geq_ticket_R1,geq_ticket_R2_aux,WTP_R2,geq_taxes_R2,geq_ticket_R2,WTP_BD1,WTP_BD2,geq_taxes_BD1,geq_taxes_BD2,geq_ticket_BD1,geq_ticket_BD2
19,UK,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,Yes,Yes,No,NA,Yes,Yes,DK,NA,NA,290,5,NA,NA,1,No,1,DK,NA,0,NA,NA,NA,290,580,5,10
20,UK,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,5,5,NA,NA,1,Yes,1,Yes,NA,1,1,NA,NA,5,10,5,10
21,UK,Vaccines are only available for private purchase,Yes,Yes,Yes,NA,No,NA,NA,NA,No,NA,NA,NA,30,NA,NA,1,Yes,NA,NA,NA,NA,1,NA,NA,30,60,NA,NA,NA,NA
22,UK,Vaccines only made available by government at low or no cost,Yes,No,NA,No,DK,NA,NA,NA,No,NA,NA,NA,230,NA,NA,0,No,NA,NA,NA,NA,0,NA,NA,230,115,NA,NA,NA,NA
23,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,DK,NA,NA,NA,Yes,DK,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA
24,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,DK,No,NA,NA,NA,DK,NA,NA,NA,575,NA,NA,0,DK,NA,NA,NA,NA,NA,NA,NA,575,287.5,NA,NA,NA,NA
25,UK,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,Yes,DK,NA,NA,Yes,Yes,DK,NA,575,2880,115,1,Yes,NA,NA,1,DK,1,NA,NA,575,1150,2880,NA,115,230
26,UK,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,Yes,Yes,Yes,Yes,NA,Yes,No,NA,No,575,5,115,0,Yes,1,Yes,0,No,1,1,0,575,287.5,5,10,115,57.5
28,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,DK,NA,NA,Yes,Yes,DK,NA,NA,575,30,NA,NA,NA,NA,1,DK,NA,NA,NA,NA,NA,575,NA,30,60
29,UK,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,Yes,No,NA,DK,DK,NA,NA,NA,NA,575,NA,NA,NA,0,DK,NA,NA,NA,NA,NA,NA,NA,575,287.5,NA,NA
30,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,DK,NA,Yes,Yes,Yes,NA,NA,575,60,NA,NA,1,DK,1,Yes,NA,NA,1,NA,NA,575,1150,60,120
32,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,DK,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,No,NA,No,Yes,DK,NA,NA,NA,2880,30,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,2880,1440,30,NA
35,UK,Vaccines only made available by government at low or no cost,Yes,No,NA,Yes,Yes,Yes,No,NA,Yes,Yes,No,NA,230,290,30,0,Yes,1,No,1,No,1,0,0,230,115,290,580,30,60
36,UK,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,Yes,Yes,DK,NA,Yes,No,NA,Yes,60,290,115,1,Yes,1,DK,0,Yes,1,NA,1,60,120,290,580,115,57.5
37,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,DK,NA,Yes,DK,NA,NA,NA,60,115,NA,NA,1,DK,NA,NA,NA,NA,NA,NA,NA,60,120,115,NA
38,UK,Vaccines only made available by government at low or no cost,Yes,No,NA,Yes,Yes,No,NA,No,Yes,Yes,Yes,NA,575,2880,10,0,Yes,0,No,1,Yes,1,0,1,575,287.5,2880,1440,10,20
39,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,DK,NA,Yes,Yes,DK,NA,NA,60,5,NA,NA,1,DK,1,DK,NA,NA,NA,NA,NA,60,120,5,10
40,UK,Vaccines made available by government but citizens can pay privately to gain access,Do not know,NA,NA,NA,DK,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,DK,NA,NA,No,NA,NA,NA,NA,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,NA,NA,NA
42,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,No,NA,Yes,No,NA,Yes,Yes,No,NA,Yes,60,2880,30,1,No,0,Yes,0,Yes,0,1,1,60,120,2880,1440,30,15
43,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,No,NA,Yes,Yes,No,NA,NA,60,10,NA,NA,1,No,1,No,NA,0,0,NA,NA,60,120,10,20
45,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,No,NA,Yes,Yes,Yes,NA,NA,60,10,NA,NA,1,No,1,Yes,NA,0,1,NA,NA,60,120,10,20
46,UK,Vaccines only made available by government at low or no cost,Yes,No,NA,No,Yes,Yes,Yes,NA,Yes,Yes,No,NA,60,575,115,0,No,1,Yes,1,No,0,1,0,60,30,575,1150,115,230
47,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,Yes,NA,No,NA,NA,NA,NA,30,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,30,60,NA,NA
48,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,30,5,NA,NA,1,Yes,1,Yes,NA,1,1,NA,NA,30,60,5,10
49,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,No,NA,No,NA,NA,NA,NA,575,NA,NA,NA,1,No,NA,NA,NA,0,NA,NA,NA,575,1150,NA,NA
50,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,DK,NA,NA,Yes,Yes,Yes,NA,NA,2880,30,NA,NA,NA,NA,1,Yes,NA,NA,1,NA,NA,2880,NA,30,60
51,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,No,NA,Yes,Yes,Yes,DK,NA,NA,575,5,NA,NA,0,Yes,1,DK,NA,1,NA,NA,NA,575,287.5,5,10
52,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,No,No,NA,NA,NA,No,NA,NA,NA,230,NA,NA,0,No,NA,NA,NA,NA,0,NA,NA,230,115,NA,NA,NA,NA
53,UK,Vaccines made available by government but citizens can pay privately to gain access,Do not know,NA,NA,NA,No,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,No,NA,Yes,No,NA,No,NA,290,115,NA,NA,1,No,0,No,NA,0,0,NA,NA,290,580,115,57.5
55,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,Yes,NA,Yes,No,NA,Yes,NA,5,60,NA,NA,1,Yes,0,Yes,NA,1,1,NA,NA,5,10,60,30
56,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,30,10,NA,NA,1,Yes,1,Yes,NA,1,1,NA,NA,30,60,10,20
57,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,DK,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,60,NA,NA,NA,NA,1,Yes,NA,NA,1,NA,NA,NA,NA,60,120
58,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,Yes,No,NA,Yes,NA,NA,60,NA,NA,NA,NA,0,Yes,NA,NA,1,NA,NA,NA,NA,60,30
59,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,No,No,NA,NA,NA,No,NA,NA,NA,30,NA,NA,0,No,NA,NA,NA,NA,0,NA,NA,30,15,NA,NA,NA,NA
60,UK,Vaccines made available by government but citizens can pay privately to gain access,Do not know,NA,NA,NA,Yes,DK,NA,NA,Yes,DK,NA,NA,NA,2880,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2880,NA,60,NA
61,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,No,Yes,Yes,No,NA,DK,NA,NA,NA,230,60,NA,0,No,1,No,NA,NA,0,0,NA,230,115,60,120,NA,NA
62,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,Yes,NA,No,NA,NA,NA,NA,5,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,5,10,NA,NA
63,UK,Vaccines only made available by government at low or no cost,Yes,No,NA,No,Yes,Yes,No,NA,Yes,Yes,No,NA,575,2880,30,0,No,1,No,1,No,0,0,0,575,287.5,2880,5760,30,60
64,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,Yes,NA,No,NA,NA,NA,NA,5,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,5,10,NA,NA
65,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,No,NA,DK,NA,NA,NA,No,NA,NA,NA,60,NA,NA,1,No,NA,NA,NA,NA,0,NA,NA,60,120,NA,NA,NA,NA
66,UK,Vaccines made available by government but citizens can pay privately to gain access,Do not know,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,UK,Vaccines only made available by government at low or no cost,Yes,No,NA,No,DK,NA,NA,NA,Yes,Yes,No,NA,230,NA,30,0,No,NA,NA,1,No,0,NA,0,230,115,NA,NA,30,60
68,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,Yes,NA,Yes,No,NA,No,NA,5,60,NA,NA,1,Yes,0,No,NA,1,0,NA,NA,5,10,60,30
69,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,Yes,No,NA,NA,NA,Yes,Yes,Yes,NA,230,NA,5,0,Yes,NA,NA,1,Yes,1,NA,1,230,115,NA,NA,5,10
70,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,DK,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,115,575,10,1,Yes,1,Yes,1,Yes,1,1,1,115,230,575,1150,10,20
72,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,No,NA,No,Yes,Yes,Yes,NA,NA,2880,5,NA,NA,0,No,1,Yes,NA,0,1,NA,NA,2880,1440,5,10
74,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,DK,NA,Yes,No,NA,DK,NA,60,115,NA,NA,1,DK,0,DK,NA,NA,NA,NA,NA,60,120,115,57.5
76,UK,Vaccines only made available by government at low or no cost,Yes,Yes,No,NA,Yes,No,NA,Yes,Yes,Yes,No,NA,230,575,60,1,No,0,Yes,1,No,0,1,0,230,460,575,287.5,60,120
77,UK,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,UK,Do not know,No,NA,NA,NA,Yes,Yes,Yes,NA,No,NA,NA,NA,NA,5,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,5,10,NA,NA
80,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,No,NA,NA,5,10,NA,NA,1,Yes,1,No,NA,1,0,NA,NA,5,10,10,20
81,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,No,NA,No,Yes,Yes,Yes,NA,NA,2880,30,NA,NA,0,No,1,Yes,NA,0,1,NA,NA,2880,1440,30,60
82,UK,Vaccines only made available by government at low or no cost,Yes,No,NA,No,DK,NA,NA,NA,Yes,Yes,Yes,NA,230,NA,5,0,No,NA,NA,1,Yes,0,NA,1,230,115,NA,NA,5,10
83,UK,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,Yes,No,NA,Yes,No,NA,NA,NA,115,575,NA,1,Yes,0,Yes,NA,NA,1,1,NA,115,230,575,287.5,NA,NA
84,UK,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,Yes,Yes,DK,NA,Yes,DK,NA,NA,30,60,115,1,Yes,1,DK,NA,NA,1,NA,NA,30,60,60,120,115,NA
85,UK,Vaccines only made available by government at low or no cost,Yes,No,NA,Yes,Yes,No,NA,Yes,Yes,No,NA,No,60,60,30,0,Yes,0,Yes,0,No,1,1,0,60,30,60,30,30,15
86,UK,Vaccines only made available by government at low or no cost,Yes,DK,NA,NA,DK,NA,NA,NA,Yes,DK,NA,NA,575,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,575,NA,NA,NA,60,NA
87,UK,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,Yes,Yes,Yes,NA,No,NA,NA,NA,NA,60,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,60,120,NA,NA
88,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,Yes,NA,DK,NA,NA,NA,NA,5,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,5,10,NA,NA
89,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,5,5,NA,NA,1,Yes,1,Yes,NA,1,1,NA,NA,5,10,5,10
91,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,RS,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,No,Yes,Yes,No,NA,Yes,No,NA,Yes,115,5,10,0,No,1,No,0,Yes,0,0,1,115,57.5,5,10,10,5
93,UK,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,Yes,No,NA,Yes,DK,NA,NA,NA,NA,575,NA,NA,NA,0,Yes,NA,NA,NA,1,NA,NA,NA,575,287.5,NA,NA
94,UK,Do not know,No,NA,NA,NA,Yes,DK,NA,NA,RS,NA,NA,NA,NA,2880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2880,NA,NA,NA
95,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,No,NA,No,Yes,No,NA,Yes,NA,2880,115,NA,NA,0,No,0,Yes,NA,0,1,NA,NA,2880,1440,115,57.5
96,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,DK,NA,NA,NA,Yes,No,NA,Yes,NA,NA,10,NA,NA,NA,NA,0,Yes,NA,NA,1,NA,NA,NA,NA,10,5
97,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,DK,Yes,DK,NA,NA,Yes,Yes,No,NA,115,290,10,0,DK,NA,NA,1,No,NA,NA,0,115,57.5,290,NA,10,20
98,UK,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,UK,Do not know,Do not know,NA,NA,NA,DK,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,No,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,115,5,10,1,No,1,Yes,1,Yes,0,1,1,115,230,5,10,10,20
102,UK,Do not know,Do not know,NA,NA,NA,DK,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,UK,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,Yes,Yes,No,NA,No,NA,NA,NA,60,60,NA,1,Yes,1,No,NA,NA,1,0,NA,60,120,60,120,NA,NA
104,UK,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,DK,NA,NA,NA,Yes,DK,NA,NA,60,NA,115,1,Yes,NA,NA,NA,NA,1,NA,NA,60,120,NA,NA,115,NA
105,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,No,NA,Yes,Yes,No,NA,Yes,Yes,Yes,NA,230,30,10,1,No,1,No,1,Yes,0,0,1,230,460,30,60,10,20
106,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,No,NA,No,NA,NA,NA,NA,30,NA,NA,NA,1,No,NA,NA,NA,0,NA,NA,NA,30,60,NA,NA
107,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,No,NA,No,No,NA,NA,NA,NA,575,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,575,287.5,NA,NA
108,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,60,10,NA,NA,1,Yes,1,Yes,NA,1,1,NA,NA,60,120,10,20
111,UK,Do not know,Yes,DK,NA,NA,DK,NA,NA,NA,DK,NA,NA,NA,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,NA,NA,NA,NA,NA
112,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,Yes,NA,No,NA,NA,NA,NA,290,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,290,580,NA,NA
113,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,Yes,NA,No,NA,NA,NA,NA,5,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,5,10,NA,NA
115,UK,Vaccines made available by government but citizens can pay privately to gain access,Do not know,NA,NA,NA,Yes,Yes,No,NA,No,NA,NA,NA,NA,60,NA,NA,NA,1,No,NA,NA,NA,0,NA,NA,NA,60,120,NA,NA
116,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,No,NA,Yes,No,NA,Yes,NA,60,115,NA,NA,1,No,0,Yes,NA,0,1,NA,NA,60,120,115,57.5
117,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,Yes,NA,No,NA,NA,NA,NA,30,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,30,60,NA,NA
118,UK,Vaccines made available by government but citizens can pay privately to gain access,Do not know,NA,NA,NA,DK,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,No,NA,Yes,No,NA,No,NA,575,115,NA,NA,1,No,0,No,NA,0,0,NA,NA,575,1150,115,57.5
120,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,DK,NA,NA,Yes,Yes,Yes,NA,Yes,No,NA,Yes,230,5,60,NA,NA,1,Yes,0,Yes,NA,1,1,230,NA,5,10,60,30
121,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,No,NA,Yes,Yes,No,NA,NA,290,115,NA,NA,1,No,1,No,NA,0,0,NA,NA,290,580,115,230
122,UK,Vaccines only made available by government at low or no cost,Yes,Yes,No,NA,Yes,Yes,Yes,NA,Yes,No,NA,Yes,115,30,30,1,No,1,Yes,0,Yes,0,1,1,115,230,30,60,30,15
123,UK,Vaccines only made available by government at low or no cost,Yes,No,NA,No,Yes,Yes,Yes,NA,Yes,No,NA,Yes,230,5,60,0,No,1,Yes,0,Yes,0,1,1,230,115,5,10,60,30
124,UK,Vaccines only made available by government at low or no cost,Yes,DK,NA,NA,Yes,Yes,No,NA,Yes,Yes,Yes,NA,115,30,5,NA,NA,1,No,1,Yes,NA,0,1,115,NA,30,60,5,10
125,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,UK,Do not know,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
